mac         |echo |rssi (dbm)|count|scan time   |HH:MM:SS.MMMMMM
------------+-----+----------+-----+------------+---------------
0C2A6F8A9BF4|2    |-85       |90   |31536762    |10:15:19.573164
0C2A6F8A9BF4|2    |-85       |90   |31536762    |10:15:20.583890
0C2A6F8A9BF4|2    |-78       |91   |31536764    |10:15:21.584224
0C2A6F8A9BF4|2    |-78       |91   |31536764    |10:15:22.588648
0C2A6F8A9BF4|2    |-78       |91   |31536764    |10:15:23.599676
0C2A6F8A9BF4|2    |-80       |92   |31536767    |10:15:24.607708
0C2A6F8A9BF4|2    |-80       |92   |31536767    |10:15:25.614313
0C2A6F8A9BF4|2    |-80       |92   |31536767    |10:15:26.622178
0C2A6F8A9BF4|2    |-80       |92   |31536767    |10:15:27.625262
0C2A6F8A9BF4|2    |-80       |92   |31536767    |10:15:28.687640
0C2A6F8A9BF4|2    |-83       |93   |31536772    |10:15:29.641090
0C2A6F8A9BF4|2    |-83       |93   |31536772    |10:15:30.649891
0C2A6F8A9BF4|2    |-83       |93   |31536772    |10:15:31.664401
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:32.674508
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:33.678050
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:34.683126
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:35.687789
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:36.698037
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:37.728256
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:38.716680
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:39.749558
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:40.723323
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:41.727349
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:42.730102
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:43.740542
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:44.750042
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:45.757400
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:46.764236
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:47.771987
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:48.779158
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:49.820874
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:50.793428
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:51.794487
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:52.822879
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:53.814191
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:54.817456
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:55.824348
0C2A6F8A9BF4|2    |-84       |94   |31536775    |10:15:56.826938
